Step_1;Step_2;Step_3;Step_4;Step_5;Exporter;Product;Allocated_Volume
PRODUCTION-BR-5107198;HUB-BR-5107602;PORT-BR-1501303;;;COFCO;SOYBEAN;45361.442586593475
PRODUCTION-BR-5203104;HUB-BR-5107602;PORT-BR-1501303;;;COFCO;SOYBEAN;19638.55741340652
PRODUCTION-BR-5107198;HUB-BR-5107602;PORT-BR-3548500;;;ADM;SOYBEAN;8514.107661657326
PRODUCTION-BR-5203104;HUB-BR-5107602;PORT-BR-3548500;;;ADM;SOYBEAN;3686.0554383426734
PRODUCTION-BR-5107198;HUB-BR-5107602;PORT-BR-4118204;;;BOM JESUS AGROPECUARIA;SOYBEAN;872.3354343575669
PRODUCTION-BR-5203104;HUB-BR-5107602;PORT-BR-4118204;;;BOM JESUS AGROPECUARIA;SOYBEAN;377.66456564243316
PRODUCTION-BR-5104526;HUB-BR-5107925;PORT-BR-1501303;;;COFCO;SOYBEAN;112298.48242237272
PRODUCTION-BR-5104542;HUB-BR-5107925;PORT-BR-1501303;;;COFCO;SOYBEAN;286849.3496889458
PRODUCTION-BR-5105101;HUB-BR-5107925;PORT-BR-1501303;;;COFCO;SOYBEAN;251210.31666170582
PRODUCTION-BR-5106240;HUB-BR-5107925;PORT-BR-1501303;;;COFCO;SOYBEAN;561879.3549358587
PRODUCTION-BR-5106273;HUB-BR-5107925;PORT-BR-1501303;;;COFCO;SOYBEAN;21873.462116749044
PRODUCTION-BR-5106802;HUB-BR-5107925;PORT-BR-1501303;;;COFCO;SOYBEAN;41671.13907436776
PRODUCTION-BR-5104526;HUB-BR-5107925;PORT-BR-2111300;;;COFCO;SOYBEAN;57580.92300566427
PRODUCTION-BR-5104542;HUB-BR-5107925;PORT-BR-2111300;;;COFCO;SOYBEAN;147081.68768070042
PRODUCTION-BR-5105101;HUB-BR-5107925;PORT-BR-2111300;;;COFCO;SOYBEAN;128807.81280303784
PRODUCTION-BR-5106240;HUB-BR-5107925;PORT-BR-2111300;;;COFCO;SOYBEAN;288103.0195345573
PRODUCTION-BR-5106273;HUB-BR-5107925;PORT-BR-2111300;;;COFCO;SOYBEAN;11215.593575652072
PRODUCTION-BR-5106802;HUB-BR-5107925;PORT-BR-2111300;;;COFCO;SOYBEAN;21366.83060038809
PRODUCTION-BR-5104526;HUB-BR-5107925;PORT-BR-2111300;;;No Match;SOYBEAN;0.00024646509105010785
PRODUCTION-BR-5104542;HUB-BR-5107925;PORT-BR-2111300;;;No Match;SOYBEAN;0.0006295574932423598
